"","Plot","Quad","x","y","Tubbs.mtbs.RDNBR","Tubbs.mtbs.DNBR","Tubbs.mtbs.DNBR6","Kincade.mtbs.RDNBR","Kincade.mtbs.DNBR","Kincade.mtbs.DNBR6"
"268","PPW1532","D3",-2274721.17716264,2050747.15448311,82,49,1,24,6,1
"269","PPW1532","D4",-2274715.51350031,2050766.54666017,143,99,2,54,31,1
"270","PPW1532","D5",-2274709.84983794,2050785.93883647,160,111,2,54,31,1
"271","PPW1532","E1",-2274713.48452501,2050702.81267702,100,64,1,42,21,1
"272","PPW1532","E2",-2274707.82086213,2050722.20485519,100,64,1,42,21,1
"273","PPW1532","E3",-2274702.15719921,2050741.59703259,123,83,2,0,-15,1
"274","PPW1532","E4",-2274696.49353626,2050760.98920921,173,118,2,25,6,1
"275","PPW1532","E5",-2274690.82987327,2050780.38138506,173,118,2,25,6,1
"276","PPW1535","A1",-2274728.49695251,2050464.1057233,35,6,1,-303,-212,5
"277","PPW1535","A2",-2274722.83328841,2050483.49790922,35,6,1,-303,-212,5
"278","PPW1535","A3",-2274717.16962426,2050502.89009438,103,66,1,-70,-70,1
"279","PPW1535","A4",-2274711.50596008,2050522.28227876,109,71,2,29,10,1
"280","PPW1535","A5",-2274705.84229587,2050541.67446237,109,71,2,29,10,1
"281","PPW1535","B1",-2274709.47700098,2050458.54826987,35,6,1,-57,-61,1
"282","PPW1535","B2",-2274703.81333626,2050477.94045534,98,62,1,-303,-212,5
"283","PPW1535","B3",-2274698.1496715,2050497.33264005,94,57,1,-2,-17,1
"284","PPW1535","B4",-2274692.4860067,2050516.72482399,122,81,2,-2,-17,1
"285","PPW1535","B5",-2274686.82234187,2050536.11700715,122,81,2,11,-5,1
"286","PPW1535","C1",-2274690.45705042,2050452.99081398,88,48,1,-4,-19,1
"287","PPW1535","C2",-2274684.79338508,2050472.38299902,98,62,1,4,-11,1
"288","PPW1535","C3",-2274679.1297197,2050491.77518328,94,57,1,-2,-17,1
"289","PPW1535","C4",-2274673.46605429,2050511.16736677,88,52,1,-2,-17,1
"290","PPW1535","C5",-2274667.80238884,2050530.55954949,109,71,2,17,0,1
"291","PPW1535","D1",-2274671.43710083,2050447.43335565,78,45,1,31,12,1
"292","PPW1535","D2",-2274665.77343487,2050466.82554024,76,43,1,24,6,1
"293","PPW1535","D3",-2274660.10976887,2050486.21772406,88,52,1,24,6,1
"294","PPW1535","D4",-2274654.44610284,2050505.60990711,88,52,1,8,-8,1
"295","PPW1535","D5",-2274648.78243678,2050525.00208938,109,71,2,17,0,1
"296","PPW1535","E1",-2274652.4171522,2050441.87589487,78,45,1,31,12,1
"297","PPW1535","E2",-2274646.75348562,2050461.26807902,76,43,1,24,6,1
"298","PPW1535","E3",-2274641.08981901,2050480.66026239,79,46,1,17,0,1
"299","PPW1535","E4",-2274635.42615236,2050500.052445,105,67,1,28,9,1
"300","PPW1535","E5",-2274629.76248568,2050519.44462682,84,52,1,28,9,1
"301","PPW1538","A1",-2275249.84246159,2049202.07392986,89,55,1,114,81,2
"302","PPW1538","A2",-2275244.17880453,2049221.46617048,102,66,1,114,81,2
"303","PPW1538","A3",-2275238.51514744,2049240.85841034,79,47,1,63,38,1
"304","PPW1538","A4",-2275232.8514903,2049260.25064944,96,63,1,50,27,1
"305","PPW1538","A5",-2275227.18783313,2049279.64288779,96,63,1,50,27,1
"306","PPW1538","B1",-2275230.82254397,2049196.51652416,102,66,1,121,89,2
"307","PPW1538","B2",-2275225.15888631,2049215.90876434,102,66,1,103,72,2
"308","PPW1538","B3",-2275219.49522861,2049235.30100376,79,47,1,63,38,1
"309","PPW1538","B4",-2275213.83157087,2049254.69324242,87,54,1,63,38,1
"310","PPW1538","B5",-2275208.1679131,2049274.08548033,58,30,1,54,31,1
"311","PPW1538","C1",-2275211.80262732,2049190.95911602,74,43,1,101,71,2
"312","PPW1538","C2",-2275206.13896906,2049210.35135577,98,63,1,124,91,2
"313","PPW1538","C3",-2275200.47531075,2049229.74359474,87,54,1,124,91,2
"314","PPW1538","C4",-2275194.81165241,2049249.13583297,87,54,1,63,38,1
"315","PPW1538","C5",-2275189.14799402,2049268.52807044,58,30,1,54,31,1
"316","PPW1538","D1",-2275192.78271163,2049185.40170545,74,43,1,101,71,2
"317","PPW1538","D2",-2275187.11905276,2049204.79394475,98,63,1,124,91,2
"318","PPW1538","D3",-2275181.45539385,2049224.18618329,119,76,2,130,92,2
"319","PPW1538","D4",-2275175.7917349,2049243.57842108,90,56,1,99,69,2
"320","PPW1538","D5",-2275170.12807591,2049262.9706581,76,43,1,64,39,1
"321","PPW1538","E1",-2275173.7627969,2049179.84429244,120,76,2,135,99,2
