OID_COPY_1,Canopy_Damage_Percent_MEAN,Soil_Burn_Severity_MEAN,RBR_MEAN
736,100,3.012077,240.1302
737,33.95777,1.327957,124.6285
738,11.87645,1.044248,145.9091
739,9.703351,1.253659,94.59051
740,100,2.271028,137.7806
741,44.50613,1.051282,94.49128
742,71.28093,1.230088,97.42101
743,50.26138,1.449612,386.8387
744,100,2.480519,78.54367
745,0.891239,1.138889,75.56731
746,41.95446,1.166667,69.63018
747,73.71298,1.970588,74.09135
748,79.97483,1.086207,136.7366
749,12.9095,1,295.0204
750,32.89743,1,128.146
751,9.881801,1.727273,120.7031
752,67.59709,1.642857,118.2336
753,1.823749,1.409836,417.3208
754,100,2.565564,61.48906
755,15.46732,1.192952,131.1287
756,29.30425,1.283019,98.73547
757,47.49,1.426332,126.0519
758,94.02002,2.156425,205.5602
759,49.06414,1.231788,31.19986
760,52.40601,1.144105,355.2162
761,100,1.325,461.1778
762,97.45373,2.195122,104.7944
763,10.51709,1.264151,259.0506
764,91.538,1.617363,58.89718
765,39.59335,1.668269,55.66023
766,52.60523,1.195876,102.5652
767,18.35659,1.179221,57.97074
768,4.836519,1.285714,610.3143
769,89.69874,1.848588,97.18907
770,95.81006,2.161954,49.27815
771,94.41517,1.878873,53.08971
772,96.64854,1.907692,388.2229
773,98.91236,2.425176,159.3127
774,99.50677,2.184211,109.0209
775,40.57237,1.615635,129.1376
776,27.25883,1.059524,400.9536
777,55.66307,1.309859,10.85466
778,62.30473,1.736842,201.3544
779,35.24367,1.149123,186.9957
780,5.824483,1.398551,75.80179
781,84.91711,1.950303,54.30173
782,100,2.671965,48.46575
783,42.20355,1.169935,68.54951
784,90.78727,1.919463,57.41341
785,100,2.481343,63.81217
786,35.22478,1.316062,495.0549
787,67.2674,1.203883,62.40155
788,98.21369,1.264706,86.09541
789,33.05532,1.417582,112.5354
790,73.14965,1.655172,423.7716
791,42.2517,1.883436,138.6851
792,94.2947,2.740933,88.30283
793,3.720725,1.071233,228.688
794,29.9883,1.14554,233.5431
795,26.37767,1.382263,118.9316
796,32.8934,1.174419,94.05444
797,30.12038,1.1,112.3173
798,17.37282,1.098315,198.4132
799,22.98846,1.212766,53.1533
800,28.6779,1,39.72482
801,25.04885,1.159176,192.4134
802,10.43307,1.217391,359.8493
803,99.21903,2.212018,345.5409
804,88.20164,1.904348,126.5339
805,98.09092,1.974359,482.8773
806,42.13222,1.139535,315.7149
807,93.32171,2.595801,108.9767
808,36.35969,1.586207,104.6208
809,85.49138,1.922601,159.9239
810,98.86689,3.575053,115.4317
811,51.70848,1.253275,45.81483
812,2.680727,1.244514,63.5147
813,5.868119,1,279.1564
814,29.4848,1.211538,536.2042
815,11.05755,1.17734,189.2478
816,60.63354,1.261411,256.139
817,33.27019,1.371429,374.147
818,20.66513,1.726115,80.05801
819,100,2.541516,200.3803
820,100,2.8125,160.4188
821,8.539529,1.098039,138.4665
822,39.20369,1.759259,99.83038
823,25.99108,1,122.1714
824,75.80972,1.181818,358.202
825,28.50702,1.792453,25.36278
826,62.51682,1.325301,106.607
827,55.42352,1.263158,67.25074
828,14.68553,1.008065,-11.0657
829,52.38987,1.427056,67.7537
830,46.288,1.019231,21.06933
831,100,2.125189,41.59322
832,21.83342,1.130293,38.08703
833,1.146497,1.083333,93.93046
834,18.75,1.177778,64.3246
835,36.27143,1,444.3222
836,98.48748,1.858108,180.0164
837,74.97053,1.326531,233.324
838,78.7036,1.549296,152.0268
839,93.62682,2.314103,437.1674
840,99.61414,2.199364,189.9632
841,90.60634,1.700658,235.8732
843,92.21599,1.932584,613.2283
844,24.12081,1.338954,73.55213
845,78.25296,1.113636,37.62826
846,41.58044,1.24359,19.78659
847,94.59671,1.71831,82.70791
848,76.09619,1.257576,15.6541
849,15.20309,1.190476,174.3902
850,76.88444,1.432773,148.5754
851,99.74738,2.516129,150.0286
852,30.31593,1.38806,536.3079
853,14.67428,1.221875,397.266
854,25.53944,1.186916,67.87022
855,42.29905,1.453608,115.9755
856,7.99893,1.663717,32.87766
857,79.04461,1.397849,115.4693
858,95.93644,2.448276,66.02574
859,57.698,1.175947,87.08576
860,17.7005,1.705426,78.22938
